Year,Month,Average Weekday Trips,Average Saturday Trips,Average Sunday Trips
1999,2,227587,90325,59836
1999,1,224427,80197,53284
1999,10,243711,100763,72059
1999,3,229146,92380,58912
1999,5,230310,94283,66434
1999,11,240399,102222,70453
1999,6,232678,92071,73418
1998,3,220777,85932,54560
1998,8,220184,89502,65382
1998,4,217516,87994,55730
1998,1,215771,86249,51605
1998,6,224906,85918,66304
1998,10,233840,96860,67556
1998,5,221771,87241,58764
1998,2,221980,86202,54270
1998,7,219622,90503,62764
1998,12,227822,102575,70434
1998,11,228110,95202,63961
1998,9,226208,96022,66595
1997,7,212832,81549,59179
1997,5,214875,81697,56232
1997,9,222101,88965,60183
1997,2,213598,74660,50043
1997,3,211908,77759,52655
1997,4,215443,80125,54418
1997,8,211397,82524,59602
1997,6,216958,87359,63199
1997,11,216657,82675,56311
1997,12,215983,94331,64937
1997,10,221156,87409,59154
1997,1,208972,72018,45966
1996,9,211742,86269,54823
1996,10,217777,75593,54988
1996,2,213150,69776,45744
1996,8,202663,78332,58875
1996,3,213103,78064,50714
1996,5,214438,77823,54175
1996,1,199251,64874,42937
1996,11,211367,87756,55178
1996,4,213172,79881,50651
1996,7,204589,71290,55512
1996,6,212207,78067,55503
1996,12,207990,83556,57494
